,bare soil,cloud cirrus,cloud high prob,cloud low prob,cloud med prob,cloud shadow,darkfeat,defect,vegetation,water
2016-01-03,,14883,232,588045,10105999,,,1,,840
2016-01-13,12909,357487,6661,786996,9255638,23,17561,46333,32,226356
2016-01-20,7,1788,3775,40396,68205,,,,,11115
2016-01-21,30372,1582428,233444,3423958,1617953,25,,7687,11,3573779
2016-01-28,,,59779,577109,9851584,1480,5655,853,,3592
2016-02-12,27579,147,543582,772030,1082944,3880626,753257,778051,1140130,1731272
2016-03-11,17924,18,30,859107,1148056,3949772,618459,417301,1154110,2340061
2016-03-20,5733,,46,1532714,5024420,965252,348585,200872,791147,1551037
2016-03-23,5615,48783,19206,646530,7203516,638766,683427,232342,409654,822160
2016-04-03,,,2087250,2497111,3099497,1728778,1125,15307,694574,586358
2016-04-13,1122,332,64589,1793951,7044328,599895,95497,69715,85522,955049
2016-04-19,10727,983,676,569473,5567740,2134907,908606,130527,444086,694845
2016-04-22,344,,3139811,3026953,304211,2774304,9961,19937,840860,593619
2016-04-29,20151,21,36847,274388,647280,6548378,348496,126109,2195096,312914
2016-05-02,8348,30,1233088,660675,740089,5491390,417294,106895,1617747,434442
2016-05-10,13061,,336746,67756,36738,7473883,9081,28527,2455213,106085
2016-05-22,16026,31,1270322,62400,34005,7138853,7295,29149,2053993,97884
2016-05-29,4349,,1301858,1126921,667512,5705057,26072,32634,1396824,252410
2016-06-08,,,15229,1653211,8698068,11986,,23,1380,100132
2016-06-18,2169,11075,173958,1111890,4397116,3358605,86536,25149,503377,756677
2016-06-28,2390,555,914551,1697146,2707580,3554241,139766,26596,599588,781186
2016-07-02,11535,497,41,267665,963936,8136457,351358,59029,618124,301341
2016-07-14,11926,10,4414,36610,22500,9141591,5648,26865,1148831,64892
2016-07-18,5070,77800,5292,855163,4440858,2910125,360699,74630,855737,900589
2016-07-21,102,16,95138,1622399,3312337,3494168,75007,30320,755542,1324970
2016-07-28,4713,18854,526585,1018373,5622427,1913978,274996,49374,646072,430239
2016-07-30,4713,18854,526585,1018373,5622427,1913978,274996,49374,646072,430239
2016-08-07,23934,35,27,180189,375794,6906898,308788,75485,2434581,214801
2016-08-17,16451,13,11,94028,149211,7351470,102533,46370,2607833,146158
2016-08-20,2333,,3575154,5068260,999917,773921,4036,6172,263572,16626
2016-08-28,22120,7,2,34196,18195,7669846,5558,26074,2640109,98245
2016-08-31,5942,948,28,557798,2543333,4839592,582687,134954,1415595,629121
2016-09-08,16293,7645,34,419949,2160220,4789263,1092438,179327,1408533,435345
2016-09-12,16137,1903,65,270033,685319,6744633,368334,121680,2089246,412635
2016-09-18,3712,,816520,3092844,971585,4049008,22567,35843,1218854,268131
2016-09-26,12914,,63202,38932,10649,7531693,12296,73770,2352909,314803
2016-09-29,15000,6,177,11911,5888,2821873,2209,28505,955273,48335
2016-10-09,7686,13582,89713,767591,1735198,2497609,903790,322581,679072,837113
2016-10-18,13454,5,,22103,12938,2419831,44402,97419,1097834,181170
2016-10-28,27,,,912586,2669920,33932,7849,12775,6114,245997
2016-11-09,13287,9082,259,360909,2388013,185365,323084,150261,29463,429462
2016-11-15,71,,33882,1710472,5153081,13418,60387,72298,81,617382
2016-11-18,2674,25985,1302,1056353,5231326,299298,287279,138827,29182,781773
2016-11-28,44688,94,59565,427543,362331,2314141,1758435,1102082,191220,1593713
2016-12-06,,,,16076,3872358,,,79,,687
2016-12-08,12278,85,533679,1199133,165588,762938,81308,588112,46452,499610
2017-01-27,105718,4357281,184,330872,111611,329258,166706,295521,547,2156276
2017-02-13,2676,255,,155779,3604717,503,17694,25558,3834,78183
2017-02-16,21514,3621,31,17018,3571,1162563,38897,922939,1117680,601337
2017-02-23,562,,1642611,1816874,3344985,71315,62037,93111,356062,201177
2017-03-25,11355,7,12249,10487,6081,1939006,3053,68342,1703359,135246
2017-03-28,17511,,267,6573,3839,2070392,1352,39935,1707030,42296
2017-04-07,3075,13,3227,998057,1969681,2194563,204810,153940,1274314,1052317
2017-04-24,11926,,2,33924,15088,5370965,3902,24827,2090796,105333
2017-05-04,346,,34962,839367,1457048,778989,35450,23659,171999,547380
2017-05-14,529,71514,187421,701109,4211980,1349924,197420,59994,425046,470433
2017-05-17,9989,29,2,31386,37070,5852676,6214,21393,1816956,78270
2017-05-27,8914,33,,29209,31309,5904162,4571,18461,1790705,66631
2017-06-03,4601,,30228,56137,102729,2760684,52372,26755,791879,63814
2017-06-13,8491,1,494,15947,12815,3185229,3059,12471,630433,20258
2017-06-16,331,29,220255,520118,574555,5079424,35324,53302,884356,486306
2017-06-26,7495,8,5,21086,24430,3446175,17716,16437,329795,26033
2017-07-01,2706,15552,336767,518767,3556820,2254938,311587,47342,342724,466796
2017-07-03,687,33954,680,237858,2312876,886659,52824,10717,115082,237863
2017-07-06,9952,12,32,11568,9259,3349596,1985,12125,472700,21959
2017-07-08,3131,1991,,85862,331264,2716972,102205,24834,518645,104296
2017-07-13,10635,4,19322,32372,28694,2832149,25247,18159,884483,38134
2017-07-16,5013,1345,,159594,1085586,1623820,317533,57563,479179,159567
2017-07-18,10534,5,19,62660,100257,5312597,81639,26821,2007815,89231
2017-07-21,9219,2,,13086,6396,2669147,3096,17238,1145122,25894
2017-07-31,174,,476750,1086694,3563414,1832492,8720,47760,542195,295801
2017-08-02,1157,,978723,900009,530048,3634697,40007,35301,1374309,166493
2017-08-05,12706,5,,13241,8878,2756189,3177,14262,1054663,26064
2017-08-07,10119,9,97,189059,351120,2065635,150187,60704,853217,209051
2017-08-15,8328,,92768,29937,66172,2680824,5155,17377,944171,44468
2017-08-20,3686,,125918,453512,1428148,809209,87120,54805,257380,669422
2017-08-22,356,9,26,103613,53539,5470595,92203,33117,1743065,190781
2017-08-25,764,,9600,24514,5789,2796023,7091,33552,938857,73010
2017-08-27,22,1381,498511,1143386,4836656,429134,1341,8208,329343,440754
2017-08-30,2353,2,609166,176106,7237,2331864,4325,19232,707691,31223
2017-09-04,15470,2,,41543,36683,2910349,66975,101957,624666,91536
2017-09-06,6964,89975,5870,691490,4760040,860708,193702,92938,185034,782565
2017-09-11,3066,8247,1050,346419,4247830,2159902,109781,52662,458379,313157
2017-09-21,8376,4277,,202993,710428,1863159,453546,53549,359337,233534
2017-09-24,7884,356,9,102695,190483,2544722,202918,45708,603768,190657
2017-09-26,157,,57359,391641,2043905,763685,11197,12367,358260,250629
2017-09-29,730,,1183146,489352,23234,1610398,8338,26627,337860,209505
2017-10-04,5760,6,1928935,386705,9194,1152740,8134,65120,101777,230829
2017-10-06,7210,34269,111953,383108,1857105,473351,442678,84422,107289,387814
2017-10-11,,,,,,,,,,
2017-10-14,,,,,,,,,,
2017-10-16,,,,,,,,,,
2017-10-19,,,,,,,,,,
2017-10-21,,,,,,,,,,
2017-10-24,,,,,,,,,,
2017-10-26,,,,,,,,,,
2017-11-03,,,,,,,,,,
2017-11-15,,,,,,,,,,
