date,bare soil,cloud cirrus,cloud high prob,cloud low prob,cloud med prob,cloud shadow,darkfeat,defect,vegetation,water,sum,cloud,cloudpercent
2016-01-03,,14883,232,588045,10105999,,,1,,840,10710000,10709159,0.9999214753
2016-01-13,12909,357487,6661,786996,9255638,23,17561,46333,32,226356,10709996,10406782,0.9716886916
2016-01-20,7,1788,3775,40396,68205,,,,,11115,125286,114164,0.9112271124
2016-01-21,30372,1582428,233444,3423958,1617953,25,,7687,11,3573779,10469657,6857783,0.6550150592
2016-01-28,,,59779,577109,9851584,1480,5655,853,,3592,10500052,10488472,0.9988971483
2016-02-12,27579,147,543582,772030,1082944,3880626,753257,778051,1140130,1731272,10709618,2398703,0.2239765228
2016-03-11,17924,18,30,859107,1148056,3949772,618459,417301,1154110,2340061,10504838,2007211,0.1910749123
2016-03-20,5733,,46,1532714,5024420,965252,348585,200872,791147,1551037,10419806,6557180,0.6292996242
2016-03-23,5615,48783,19206,646530,7203516,638766,683427,232342,409654,822160,10709999,7918035,0.739312394
2016-04-03,,,2087250,2497111,3099497,1728778,1125,15307,694574,586358,10710000,7683858,0.7174470588
2016-04-13,1122,332,64589,1793951,7044328,599895,95497,69715,85522,955049,10710000,8903200,0.8312978525
2016-04-19,10727,983,676,569473,5567740,2134907,908606,130527,444086,694845,10462570,6138872,0.5867460863
2016-04-22,344,,3139811,3026953,304211,2774304,9961,19937,840860,593619,10710000,6470975,0.6041993464
2016-04-29,20151,21,36847,274388,647280,6548378,348496,126109,2195096,312914,10509680,958536,0.0912050605
2016-05-02,8348,30,1233088,660675,740089,5491390,417294,106895,1617747,434442,10709998,2633882,0.2459274035
2016-05-10,13061,,336746,67756,36738,7473883,9081,28527,2455213,106085,10527090,441240,0.0419147172
2016-05-22,16026,31,1270322,62400,34005,7138853,7295,29149,2053993,97884,10709958,1366758,0.1276156265
2016-05-29,4349,,1301858,1126921,667512,5705057,26072,32634,1396824,252410,10513637,3096291,0.2945023687
2016-06-08,,,15229,1653211,8698068,11986,,23,1380,100132,10480029,10366508,0.9891678735
2016-06-18,2169,11075,173958,1111890,4397116,3358605,86536,25149,503377,756677,10426552,5694039,0.5461094905
2016-06-28,2390,555,914551,1697146,2707580,3554241,139766,26596,599588,781186,10423599,5319832,0.5103642226
2016-07-02,11535,497,41,267665,963936,8136457,351358,59029,618124,301341,10709983,1232139,0.1150458409
2016-07-14,11926,10,4414,36610,22500,9141591,5648,26865,1148831,64892,10463287,63534,0.0060720881
2016-07-18,5070,77800,5292,855163,4440858,2910125,360699,74630,855737,900589,10485963,5379113,0.5129822602
2016-07-21,102,16,95138,1622399,3312337,3494168,75007,30320,755542,1324970,10709999,5029890,0.4696443016
2016-07-28,4713,18854,526585,1018373,5622427,1913978,274996,49374,646072,430239,10505611,7186239,0.6840381773
2016-07-30,4713,18854,526585,1018373,5622427,1913978,274996,49374,646072,430239,10505611,7186239,0.6840381773
2016-08-07,23934,35,27,180189,375794,6906898,308788,75485,2434581,214801,10520532,556045,0.0528533158
2016-08-17,16451,13,11,94028,149211,7351470,102533,46370,2607833,146158,10514078,243263,0.0231368837
2016-08-20,2333,,3575154,5068260,999917,773921,4036,6172,263572,16626,10709991,9643331,0.9004051451
2016-08-28,22120,7,2,34196,18195,7669846,5558,26074,2640109,98245,10514352,52400,0.0049836642
2016-08-31,5942,948,28,557798,2543333,4839592,582687,134954,1415595,629121,10709998,3102107,0.2896458991
2016-09-08,16293,7645,34,419949,2160220,4789263,1092438,179327,1408533,435345,10509047,2587848,0.246249541
2016-09-12,16137,1903,65,270033,685319,6744633,368334,121680,2089246,412635,10709985,957320,0.0893857461
2016-09-18,3712,,816520,3092844,971585,4049008,22567,35843,1218854,268131,10479064,4880949,0.4657810087
2016-09-26,12914,,63202,38932,10649,7531693,12296,73770,2352909,314803,10411168,112783,0.0108328864
2016-09-29,15000,6,177,11911,5888,2821873,2209,28505,955273,48335,3889177,17982,0.0046236003
2016-10-09,7686,13582,89713,767591,1735198,2497609,903790,322581,679072,837113,7853935,2606084,0.3318188908
2016-10-18,13454,5,,22103,12938,2419831,44402,97419,1097834,181170,3889156,35046,0.0090112096
2016-10-28,27,,,912586,2669920,33932,7849,12775,6114,245997,3889200,3582506,0.9211421372
2016-11-09,13287,9082,259,360909,2388013,185365,323084,150261,29463,429462,3889185,2758263,0.709213627
2016-11-15,71,,33882,1710472,5153081,13418,60387,72298,81,617382,7661072,6897435,0.9003224353
2016-11-18,2674,25985,1302,1056353,5231326,299298,287279,138827,29182,781773,7853999,6314966,0.8040446657
2016-11-28,44688,94,59565,427543,362331,2314141,1758435,1102082,191220,1593713,7853812,849533,0.1081682373
2016-12-06,,,,16076,3872358,,,79,,687,3889200,3888434,0.9998030443
2016-12-08,12278,85,533679,1199133,165588,762938,81308,588112,46452,499610,3889183,1898485,0.4881449394
